Place,Year
"Bernardo (Calle e Ramo, Campie llo, Ramo)  a S. Apollinare.",1809
"Bernardo (Calle e Ramo, Campie llo, Ramo)  a S. Apollinare.",1810
Bersaglio (Rio del)  a S. Alvise.,1572
Bersaglio (Rio del)  a S. Alvise.,1609
"Bevilacqua (Calle, Corte)  all’Angelo Raffaele.",1514
"Bevilacqua (Calle, Corte)  all’Angelo Raffaele.",1559
"Bevilacqua (Calle, Corte)  all’Angelo Raffaele.",1572
"Bevilacqua (Calle, Corte)  all’Angelo Raffaele.",1574
Bezzo (Calle del)  a S. Barnaba.,1582
Bianco (Corte del)  a Castello.,1544
Bianco (Corte del)  a Castello.,1566
Bianco (Corte del)  a Castello.,1650
Bianco (Corte del)  a Castello.,1661
"Biasio (Riva, Traghetto della Riva di)  a S. Simeon Gran de.",1503
"Biasio (Riva, Traghetto della Riva di)  a S. Simeon Gran de.",1520
"Biasio (Riva, Traghetto della Riva di)  a S. Simeon Gran de.",1750
Bo (Calle del)  a Rialto.,1460
Bo (Calle del)  a Rialto.,1661
Bòccole (Calle delle)  in Quintavalle.,1612
Boldù (Calle)  a S. Felice.,800
Boldù (Calle)  a S. Felice.,1000
Boldù (Calle)  a S. Felice.,1473
Boldù (Calle)  a S. Felice.,1490
Boldù (Calle)  a S. Felice.,1493
Boldù (Calle)  a S. Felice.,1496
Boldù (Calle)  a S. Felice.,1504
Boldù (Calle)  a S. Felice.,1523
Boldù (Calle)  a S. Felice.,1524
Boldù (Calle)  a S. Felice.,1646
Boldù (Calle)  a S. Felice.,1793
Boldù (Calle)  a S. Felice.,1837
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,965
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1125
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1229
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1297
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1381
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1558
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1579
Bollani  (Fondamenta) ai SS. Gervasio e Protasio.,1709
Bolza (Calle della)  a SS. Ermagora e Fortunato.,1388
Bolza (Calle della)  a SS. Ermagora e Fortunato.,1428
Bolza (Calle della)  a SS. Ermagora e Fortunato.,1450
Bolza (Calle della)  a SS. Ermagora e Fortunato.,1514
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",500
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",1500
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",1505
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",1555
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",1557
"Bombardieri (Calle, Sottoportico, Calle dei)  a S. Francesco della Vigna.",1598
"Bombaseri (Ramo Calle, Calle, Ramo Calle dei)  a S. Bartolammeo.",1328
"Bombaseri (Ramo Calle, Calle, Ramo Calle dei)  a S. Bartolammeo.",1580
"Bombaseri (Ramo Calle, Calle, Ramo Calle dei)  a S. Bartolammeo.",1661
Bon (Ramo Secondo)  in Birri.,828
Bon (Ramo Secondo)  in Birri.,1381
Bon (Ramo Secondo)  in Birri.,1508
Bon (Ramo Secondo)  in Birri.,1571
Bon (Ramo Secondo)  in Birri.,1620
Bon (Ramo Secondo)  in Birri.,1679
Bon (Ramo Secondo)  in Birri.,1713
Bonazza (Corte)  ai Carmini.,1568
Bonazza (Corte)  ai Carmini.,1582
Bonazza (Corte)  ai Carmini.,1699
"Borella (Ramo e Corte, Corte)  ai SS. Giovanni e Paolo.",1661
"Borella (Ramo e Corte, Corte)  ai SS. Giovanni e Paolo.",1703
"Borgo (Fondamenta, Ponte di)  ai SS. Gervasio e Protasio.",1450
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1337
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1349
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1370
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1372
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1375
"Borsa (Corte, Ramo e Corte, Calle della)  a S. Ternita.",1450
"Bosello (Calle, Campo)  presso la «Fondamenta di San Giobbe».",1650
"Bosello (Calle, Campo)  presso la «Fondamenta di San Giobbe».",1750
Botta (Calle della)  a S. Cassiano.,1537
Botta (Calle della)  a S. Cassiano.,1566
Botta (Calle della)  a S. Cassiano.,1598
"Bragadin (Calle)  in «Barbaria delle  Tole»,  a S. Giustina.",800
"Bragadin (Calle)  in «Barbaria delle  Tole»,  a S. Giustina.",890
"Bragadin (Calle)  in «Barbaria delle  Tole»,  a S. Giustina.",1571
"Bragadin (Calle)  in «Barbaria delle  Tole»,  a S. Giustina.",1596
Bragadin o Pinelli (Calle)  a S. Maria Formosa.,1661
